split,idx,symptoms,herbs,top_eight,top_zangfu,active_eight,active_zangfu
train,25,口臭,细辛、牛膝、硫黄、升麻、皂荚、甘松、地骨皮、羌活,热,胃,4,5
train,26,咳嗽,白矾、甘草、天南星,寒,肺,3,3
train,27,头痛,防风、土茯苓、当归、天麻、何首乌、茯苓,虚,肝,5,4
train,28,四肢疼痛,葱白、生姜、甘草、杏仁、赤芍、芍药、地骨皮、生地黄、杏、柴胡,表,肝,6,4
train,29,小便频数,桑、牡蛎、玄参、黄连、菝葜、人参、桑螵蛸、鹿茸、地骨皮、苦参、龙骨、五味子,虚,肾,4,4
train,30,腰痛,肉桂、菟丝子、石斛、附子、吴茱萸,里,肾,4,3
train,31,气喘、心下痞,桑、大黄、鳖甲、茯苓、郁李、大腹皮、吴茱萸、郁李仁,里,脾,4,5
train,32,身热肢寒、口渴、自汗,知母、甘草、滑石、石膏,热,胃,5,3
train,33,干呕、恶心,白芷,表,胃,4,3
train,34,吞酸,白术、高良姜、甘草、干姜、豆蔻、槟榔、丁香、人参、白豆蔻、附子、木香,寒,脾,4,4
train,35,咳嗽,陈皮、青皮、大黄、胆南星、沉香、橘红、枳壳,实,肺,4,4
train,36,健忘、转筋,乳香、松节,里,肝,3,3
train,37,转筋、腹痛、头晕、胸闷,雄黄、白矾、蟾酥、珍珠、青黛、灯心草、猪牙皂、麝香、冰片、朱砂、硼砂、人中白、麻黄、牛黄,实,心,6,6
train,38,浮肿,桑、茯苓、防己、木通、石韦、泽泻,里,肾,4,5
train,39,盗汗、消瘦、自汗,牡蛎、陈皮、黄柏、干姜、牛膝、熟地黄、人参、续断、天冬、紫河车、麦冬、五味子,阴,肾,4,5
train,40,大便秘结、烦躁,荆芥、玄参、防风、甘草、黄连、大黄、桔梗、连翘、牛蒡子、金银花、黄芩、牛蒡、薄荷,里,肺,4,5
train,41,鼻痒,蛇蜕、青黛、滑石、麝香,表,肺,4,3
train,42,恶心,花生、防风、旋覆花、乌头、羚羊角、枳壳、独活,里,胃,4,3
train,43,阴疮,郁金、乳香、烟草,热,肝,4,3
train,44,健忘,磁石,虚,肾,3,2
train,45,目昏、壮热、四肢疼痛、咳嗽,甘草、杏仁、陈皮、桔梗、乌梅、苍术、厚朴、杏、麻黄,热,肺,4,3
train,46,壮热、无名肿毒,甘草、当归,热,心,2,4
train,47,头痛,菊花、枸杞子、山楂,阴,肝,4,3
train,48,无汗,荆芥、蒲黄、甘草、赤芍、板蓝根、连翘、僵蚕、益母草、牛蒡、薄荷、荷叶、石膏,表,肺,4,6
train,49,耳聋,桑、桑螵蛸、羚羊角、地骨皮、茯苓、磁石、五味子,里,肾,4,3
train,50,谵语,甘草、枳实、当归、大黄、人参、厚朴,里,胃,4,4
train,51,急惊、咳嗽,郁金、天南星、麝香、硼砂,里,心,3,4
train,52,咳嗽,甘草、桔梗、金银花、白及、橘红,热,肺,4,3
train,53,慢惊,青黛、麝香、使君子,里,肝,3,3
train,54,气喘、急惊、痫,甘草、珍珠、琥珀、天竺黄、山药、茯苓、沉香、麝香、朱砂、硼砂、枳壳,里,心,3,4
train,55,呕吐、口苦,前胡、莪术、豆蔻、荜澄茄、当归、芍药、藿香、槟榔、丁香、人参、沉香、麝香、木香、枳壳、诃子,里,肝,4,6
train,56,鼻塞、身重,川芎、白术、陈皮、黄柏、熟地黄、远志、白芍、人参、茯苓、麦门冬、五味子,虚,脾,3,5
train,57,神昏、呕吐、咳嗽,白术、白附子、白矾、天南星、茯苓、附子、半夏,寒,脾,4,4
train,58,头痛,桑、防风、天麻、连翘、桑叶、薄荷、石膏,实,肝,5,4
train,59,呕吐、头昏,陈皮、砂仁、半夏,里,胃,3,3
train,60,小便不通,青皮,里,肝,2,2
train,61,咳嗽,白矾、天麻、全蝎、朱砂、半夏,实,肝,2,4
train,62,瘫痪,荆芥、自然铜、川芎、乳香、松香、五灵脂、当归、闹羊花、天麻、没药、全蝎、威灵仙、白芷、草乌、僵蚕、苦参、虎骨、地龙、麝香、冰片、檀香,里,肝,4,6
train,63,健忘、小便不通、呕吐、头痛,竹叶、桑、槐花、栀子、槟榔、升麻、羚羊角、桑白皮、朱砂、犀角,热,心,4,6
train,64,吐血,天门冬,热,肺,3,4
train,65,慢惊,枸杞子、菟丝子、当归、牛膝、何首乌、茯苓,虚,肝,3,3
train,66,烦躁,甘草、黄连、木通、瞿麦、麦门冬,热,心,4,3
train,67,腹痛,桃、川芎、赤芍、当归、桃仁、木香、枳壳,里,肝,4,4
train,68,小便不通,当归、大黄、滑石、木通,实,膀胱,4,4
train,69,身痛、浮肿,菟丝子、鹿茸、草果、茯苓、附子,里,肾,4,4
train,70,浮肿,桑、紫苏子、槟榔、茯苓、防己、木通、桑白皮、郁李、大腹皮、木香、郁李仁,里,脾,4,5
train,71,小便频数,桑、菟丝子、山茱萸、杜仲、人参、桑螵蛸、鹿茸,虚,肾,3,3
train,72,耳聋,葱白、川乌、乌头、茴香、苍术,寒,肾,3,3
train,73,腹痛,肉桂、乳香、当归、麝香,里,肝,4,4
train,74,头痛,甘草、黄连、地骨皮、麦门冬、石膏,里,胃,4,4
train,75,呃逆,丁香、柿蒂,寒,胃,3,2
train,76,漏下、崩漏,白术、甘草、赤石脂、阿胶、白芍、黄芩,虚,脾,4,4
train,77,无名肿毒、背痛、头痛、咳嗽,桃、蜈蚣、玄参、防风、莪术、杏仁、黄连、黄柏、细辛、当归、大黄、全蝎、槟榔、白芷、三棱、川乌、草乌、蓖麻、芫花、大戟、甘遂、猪牙皂、桃仁、羌活、杏、麻黄、枳壳、香附,实,肺,6,6
train,78,发黄、少气、谵语,桃、大黄、桃仁、生地黄、犀角,热,心,3,4
train,79,难产,白附子、当归、芍药、白芷、僵蚕、附子,寒,肝,4,4
train,80,小儿发热、咳嗽,甘草、黄连、人工牛黄、丁香、人参、羚羊角、麝香、冰片、牛黄,热,肺,6,5
train,81,呃逆,麦芽、连翘、莱菔子、半夏、枳壳、香附,里,胃,3,3
train,82,神昏、慢惊,防风、蝉蜕、白附子、零陵香、乳香、天南星、五灵脂、天麻、血竭、全蝎、滑石、僵蚕、附子、钩藤、麝香、朱砂、羌活,里,肝,4,4
train,83,腹满、潮热、寒热往来,大黄、玄明粉、麦冬,里,胃,4,3
train,84,头痛、半身不遂,红花、蒲黄、当归、山楂、白芍、秦艽、乌药、独活、香附,里,肝,3,6
train,85,咳嗽,马兜铃,热,肺,3,1
train,86,心烦,当归、大黄、牛膝、鳖甲、槟榔、吴茱萸、羌活、枳壳,热,肝,4,5
train,87,头汗,牡蛎、生姜、甘草、干姜、黄芩、木通、厚朴、柴胡,里,肝,4,6
train,88,手足厥冷,雄黄、郁金、巴豆、麝香、冰片,寒,心,4,5
train,89,偏头痛、头痛,甘草、石膏,热,胃,3,3
train,90,吞酸,白术、麦芽、神曲、陈皮、茵陈、枳实、山楂、连翘、茯苓、荷叶、泽泻,里,胃,4,4
train,91,腹痛、咳嗽,生姜,寒,肺,3,3
train,92,胎毒、无名肿毒、湿疮,炉甘石,热,脾,2,4
train,93,健忘,甘草、黄连、当归、远志、柏子仁、人参、酸枣仁、茯苓、朱砂、生地黄、木香,虚,心,3,4
train,94,鼻塞、咳嗽,白术、甘草、细辛、芍药、桔梗、白芍、天花粉、人参、茯苓,虚,肺,4,3
train,95,积滞,水蛭、硼砂、虻虫,实,肝,3,4
train,96,呃逆,甘草、豆蔻、藿香、砂仁、木香,里,脾,4,3
train,97,痫,细辛、龙齿、蜂房、升麻、钩藤、朱砂、羌活、麻黄、牛黄、石膏,里,心,3,5
train,98,舌肿、鼻塞、目昏、壮热、项强、恶寒、无汗、牙痛、恶风、咳嗽,荆芥、前胡、甘草、旋覆花、赤芍、芍药、半夏、麻黄,实,肺,6,4
train,99,心烦、壮热、恶寒,白术、乳香、干姜、豆蔻、肉豆蔻、当归、天麻、槟榔、川乌、茯苓、附子、朱砂、吴茱萸、葛根、麻黄、木香,阳,心,6,5
train,100,皮肤瘙痒,苦参,热,肺,3,4
train,101,耳聋,荆芥、葱白,表,肺,3,3
train,102,小便不利、大便溏,秦皮、猪苓、茯苓、厚朴、泽泻,里,脾,4,3
train,103,舌干、恶心、烦躁、头痛、口苦,地榆、黄连、赤芍、芍药,热,肝,4,4
train,104,潮热,红花、白术、鸡内金、麦芽、莪术、神曲、黄连、青皮、枳实、山楂、槟榔、三棱、芜荑、夜明砂、莱菔子、山药、茯苓、党参、苍术、砂仁、水红花子、柴胡、使君子、木香、香附,热,肝,5,5
train,105,耳聋,防风、人参、磁石,虚,肾,3,3
train,106,目昏,胆矾,热,肝,4,2
train,107,盗汗、腹满,赤芍、当归、芍药、人参、沉香、木香,虚,脾,3,4
train,108,气喘、咳嗽,菊花、枸杞子、巴戟天、肉苁蓉,虚,肾,3,3
train,109,发黄,龙胆、苦参,热,胆,3,3
train,110,嗳气、吞酸、呕吐,白术、神曲、陈皮、黄连、枳实、萝卜、山楂、连翘、黄芩、茯苓、附子、苍术、厚朴、半夏、香附,里,胃,4,3
train,111,麻疹,荆芥、前胡、桑、玄参、白茅根、蝉蜕、陈皮、赤芍、大青叶、板蓝根、栀子、连翘、水牛角、天花粉、金银花、黄芩、西河柳、桑叶、薄荷、葛根,热,肺,5,5
train,112,咽干、口苦、咳嗽,甘草、陈皮、桔梗、麻黄、木香、五味子、石膏,里,肺,4,5
train,113,腹痛,白术、高良姜、生姜、肉桂、甘草、豆蔻、厚朴、草豆蔻、诃子,里,脾,4,4
train,114,鼻衄、壮热、头痛,芍药、升麻、犀角、青蒿,热,肝,3,4
train,115,鼻塞、身重、恶心、呕吐、四肢拘急、半身不遂,川芎、白术、甘草、陈皮、桔梗、白芷、人参、乌药、麻黄、枳壳,虚,脾,5,4
train,116,面色青、消瘦、足痛、咳嗽,甘草、杏仁、鳖甲、黄芩、秦艽、杏、犀角、柴胡,里,肝,5,3
train,117,咳嗽,甘草、冰片、硼砂、石膏,热,肺,3,3
train,118,腹痛,芒硝、枳实、大黄、槟榔、苦楝皮、厚朴、使君子,里,大肠,3,4
train,119,恶心,枳实、茯苓、吴茱萸,里,胃,3,3
train,120,腰痛,菟丝子、韭子、干姜、硫黄、阳起石、附子、木香,阳,肾,4,3
train,121,疲乏、头痛、半身不遂,川芎、黄芪、丹参,虚,脾,3,4
train,122,无名肿毒,甘草、甘遂、麝香、枳壳,实,脾,4,4
train,123,瘰疬,川芎、白术、防风、陈皮、青皮、当归、桔梗、槟榔、白芍、白芷、人参、黄芩、沉香、乌药、厚朴、半夏、羌活、木香、独活、香附,里,肝,5,5
train,124,气喘、呕吐、咳嗽,半夏,里,肺,3,3
train,125,头重,赤芍、芍药、栀子、黄芩、葛根,热,肝,3,5
train,126,急惊,白附子、蟾酥、青黛、附子、麝香,阳,肝,4,3
train,127,头痛、咳嗽,菊花、桑、杏仁、干姜、苦杏仁、连翘、桑叶、杏,表,肺,4,3
train,128,心烦、烦躁,甘草、山豆根、黄连、百草霜、滑石、黄芩、麝香、硼砂,热,心,4,4
train,129,臁疮,珍珠、轻粉、冰片、硼砂、石膏,热,脾,3,4
train,130,恶寒,白术、苍术、羌活,表,脾,3,4
train,131,鼻塞、身重、目昏、咽干、心烦、五心烦热、壮热、烦躁、口苦,荆芥、白术、甘草、当归、大黄、芍药、麻黄,里,胆,5,6
train,132,噎膈,杏仁、郁李、杏、郁李仁,里,肺,3,4
train,133,痫,牡蛎、杏仁、赤芍、芍药、巴豆、茯苓、巴豆霜、甘遂、麝香、杏、牛黄,里,肝,3,4
train,134,吞酸、胃痛,甘草、神曲、谷芽、茯苓、党参、香附,虚,脾,4,3
train,135,咽喉痛,山豆根、麝香、硼砂,热,肺,3,4
train,136,头痛,石决明、菊花、玄参、甘草、牛膝、白芍、黄芩,热,肝,4,3
train,137,呕吐,白术、甘草、神曲、黄连、枳实、当归、桔梗、白芍、黄芩、茯苓、苍术、厚朴、吴茱萸、木香,里,脾,4,6
train,138,腹痛,雄黄、甘草、神曲、沉香、麝香、冰片、朱砂、檀香、木香,里,胃,4,4
train,139,目昏、烦躁、咳嗽,杏仁、五灵脂、朱砂、半夏、杏,热,肝,6,3
train,140,鼻衄、漏下、吐血,黄芩,热,肺,3,3
train,141,恶寒、无汗,葱白、生姜、防风、白芷、葛根,表,肺,4,3
train,142,烦躁,白鲜皮、甘草、栀子、人参,热,心,4,4
train,143,胎动不安,艾叶、甘草、干姜、当归、阿胶、芍药、白芍,虚,脾,4,5
train,144,气喘,干姜、皂荚、防己、猪牙皂,寒,肺,3,3
train,145,尿血,滑石、黄芩、猪苓、茯苓、木通、石韦,热,膀胱,4,3
train,146,呕吐,乳香、硫黄,寒,胃,3,3
train,147,腰痛、白带,干姜、乌头、附子、麝香,寒,肾,3,3
train,148,心烦,莲子,热,心,3,2
train,149,干呕,生姜、甘草、半夏、竹茹,里,胃,4,4
train,150,呕吐、寒热往来,白术、杏仁、陈皮、滑石、半夏、杏、青蒿、麦冬,里,胃,4,4
train,151,腰痛,肉桂、当归、威灵仙,寒,肾,3,3
train,152,吐血,甘草、侧柏叶、荷叶、青蒿、石膏,热,胃,3,4
train,153,干呕、胁痛、耳聋、潮热,生姜、柴胡、竹茹,阳,肝,4,3
train,154,浮肿,槟榔、郁李、郁李仁,里,脾,3,4
train,155,脏躁,甘草、当归、石菖蒲、大枣、白芍、柏子仁、黄芩、小麦、天冬、竹茹、浮小麦、麦冬,阴,心,4,4
train,156,壮热,升麻、黄芩、苦参,热,肺,3,5
train,157,耳聋,防风、黄连、远志、人参,虚,肾,3,3
train,158,腹痛,白术、甘草、陈皮、干姜、枳实、丁香、白芍、人参、砂仁、木香,里,脾,4,4
train,159,腹冷、咳嗽,干姜,寒,脾,3,3
train,160,痄腮,神曲、乳香、当归、法半夏、栀子、赤小豆、轻粉、苍术、半夏,热,肝,4,5
train,161,阴痒,百部、花椒、蛇床子、苦参,热,肝,3,3
train,162,胁痛,甘草、黄芩、木通、柴胡、枳壳、石膏,热,肝,4,4
train,163,腹痛,莪术、陈皮、青皮、槟榔、乌梅、三棱、常山、草果、砂仁、半夏,里,脾,4,5
train,164,浮肿,甘草、黄连、干姜、乌梅,寒,脾,4,4
train,165,瘰疬,鸽、木香,里,肝,4,4
train,166,转筋,干姜、槟榔、厚朴,寒,脾,3,4
train,167,短气,郁金、青皮、琥珀、丹参、沉香、朱砂,里,心,4,4
train,168,吐血,大黄、升麻、独活,热,胃,3,4
train,169,崩中,川芎、地榆、当归、阿胶、小蓟、续断、生地黄、竹茹,里,肝,4,5
train,170,大便秘结、口渴、头痛,知母、甘草、大黄、枳壳、石膏,里,胃,4,4
train,171,鼻衄,甘草、阿胶、黄芩、侧柏叶,热,肺,3,4
train,172,心烦、五心烦热、善怒、寒热往来,红花、川芎、白术、玉竹、赤芍、当归、阿胶、鳖甲、白芍、琥珀、白薇、麦冬,阴,肝,4,4
train,173,转筋、少气、呕吐、手足厥冷、自汗,川芎、白术、甘草、干姜、人参、乌头、山药、茯苓、附子、乌药,里,脾,4,5
train,174,四肢疼痛,黄连、赤芍、当归、大黄、芍药、鳖甲、黄芩、地骨皮、麝香、犀角、柴胡、木香、青蒿、胡黄连,热,肝,4,6
train,175,尿血,蒲黄、当归、鹿茸,虚,肾,3,3
train,176,鼻衄、心烦、五心烦热、咳嗽、胎动不安,阿胶、杜仲、白芍、续断、砂仁、枳壳、麦冬,里,肾,4,4
train,177,远视,白术、防风、甘草、干姜、当归、牛膝、石斛、人参、酸枣仁、羚羊角、茯苓、附子、木香、五味子,虚,肝,4,4
train,178,产后眩晕,川芎、甘草、陈皮、细辛、芍药、桔梗、人参、茯苓、半夏,虚,脾,4,4
train,179,呕吐、烦躁、咳嗽,黄连、大黄、天麻、全蝎、法半夏、滑石、僵蚕、天竺黄、浙贝母、胆南星、化橘红、钩藤、麝香、冰片、朱砂、半夏、橘红、牛黄,里,肝,3,4
train,180,吐血、咳嗽,生姜、杏仁、秦艽、茯苓、生地黄、杏、柴胡,热,肺,4,4
train,181,舌干,甘草、杏仁、乌梅、杏,阴,肺,3,4
train,182,腰痛,当归、杜仲、续断、山药,虚,肾,3,3
train,183,呕吐,白术、附子,里,脾,3,3
train,184,不孕,川芎、肉桂、枸杞子、海龙、甘草、陈皮、当归、白芍、黄芪、肉苁蓉,虚,肾,4,4
train,185,转筋、烦躁,前胡、枳实、淡豆豉、大腹皮、佩兰,里,肝,3,4
train,186,牙痛,雄黄、蟾酥、细辛、冰片,热,胃,4,3
train,187,呕吐,雄黄、肉桂、麝香、五倍子,阳,胃,4,4
train,188,面色青,白矾,寒,肝,2,2
train,189,壮热,甘草、黄连、阿胶、乌梅、犀角,热,心,3,5
train,190,瘰疬、无名肿毒,冰片、朱砂,热,心,3,3
train,191,呕吐、咳嗽,赭石、百部、桔梗、滑石、天竺黄、川贝母、冰片、朱砂、硼砂、半夏、橘红、石膏、紫苏梗,里,肺,4,4
train,192,心下痞,鸡子、人参、防己、桂枝、石膏,里,心,4,4
train,193,瘰疬,雄黄、乳香、炉甘石、没药、冰片、硼砂,热,肝,4,5
train,194,腹痛,马蔺、莪术、五灵脂、当归、大黄、没药、鳖甲、槟榔、三棱、沉香、干漆、木香,里,肝,4,5
train,195,舌干,玄参、甘草、赤芍、芍药、桔梗、栀子、黄芩、秦艽、木通、犀角、麦门冬,里,心,4,6
train,196,肠鸣、里急后重、腹痛,艾叶、甘草、陈皮、干姜、罂粟、罂粟壳,寒,脾,4,4
train,197,鼻塞、头痛,川芎、甘草、藿香、白芷、附子、香附、石膏,实,肺,6,4
train,198,目昏,白术、肉桂、甘草、细辛、人参、酸枣仁、羚羊角、独活、五味子,虚,肝,4,4
train,199,慢惊,豆蔻、肉豆蔻、藿香、槟榔、胡椒、茯苓、木香,虚,脾,4,4
train,200,腹痛,地榆、赤芍、芍药、黄芩、犀角、木香,热,肝,3,4
train,201,足痛,白附子、全蝎、僵蚕、附子、麝香,寒,肝,4,4
train,202,浮肿、咳嗽,杏仁、防己、木通、杏,里,肺,3,3
train,203,呕吐、手足厥冷,高良姜、甘草、豆蔻、肉豆蔻、丁香、人参、白豆蔻、附子、木香、枳壳,里,脾,4,4
train,204,腹痛,陈皮、青皮、干姜、豆蔻、肉豆蔻、槟榔、三棱、白豆蔻、厚朴、枳壳、诃子,里,脾,3,4
train,205,目昏,前胡、枇杷、甘草、旋覆花、细辛、藿香、人参、枇杷叶、羚羊角、茯苓、半夏、羌活、枳壳,里,肝,3,5
train,206,咳嗽,白矾、蓖麻子、蓖麻,实,肺,3,3
train,207,胁痛、舌干、耳聋、口苦,甘草、人参、黄芩、半夏、柴胡,里,肝,4,4
train,208,鼻衄,乌梅,热,肺,2,3
train,209,呕吐、自汗,白术、甘草、干姜、人参,虚,脾,4,3
train,210,胎漏、漏下,白术、阿胶、砂仁,虚,脾,3,3
train,211,鼻衄,甘草、赤芍、芍药、升麻、黄芩、羚羊角,热,肝,4,4
train,212,心烦、恶心、烦躁、潮热,红花、川芎、白术、小茴香、甘草、陈皮、赤芍、当归、芍药、三棱、黄芩、茴香、厚朴、干漆、柴胡、枳壳、香附,热,肝,6,5
train,213,瘫痪,苍术,实,脾,3,3
train,214,短气,甘草、人参、半夏,虚,脾,3,4
train,215,心烦、五心烦热、嘈杂、白带,川芎、白术、甘草、陈皮、白芍、茯苓、苍术、香附,阴,肝,3,4
train,216,肠鸣、腹泻、腹冷,地榆、白术、肉桂、甘草、乌梅、补骨脂、罂粟、附子、党参、炮姜、吴茱萸、罂粟壳、木香、五味子,里,脾,4,4
train,217,赤白带、白带,肉桂、狗脊、细辛、槐角、山茱萸、葶苈子、萝卜、丁香、白芷、天仙子、蛇床子、甘松、芫花、肉苁蓉、附子、沉香、吴茱萸、木香、香附,寒,肾,4,4
train,218,四肢拘急,甘草、大黄、射干、升麻、黄芩、犀角、柴胡、麦门冬,热,心,4,5
train,219,疳积,僵蚕、朱砂,实,肝,3,4
train,220,恶心、咳嗽,川芎、雄黄、乳香、没药、白芷,实,肺,4,3
train,221,腹痛,黄连、大黄、人参、吴茱萸、木香,里,胃,4,3
train,222,干呕、呕吐,干姜、半夏,寒,胃,3,3
train,223,腰痛、头昏,沙苑子,虚,肾,3,2
train,224,胞衣不下,红花、肉桂、甘草、赤芍、人参、枳壳,里,肝,5,4
train,225,急惊,甘草、桔梗、黄芩、半夏、橘红、竹茹、枳壳、麦冬,热,肝,4,5
train,226,烦躁,大黄、龙齿、天竺黄、麝香、朱砂、犀角、牛黄,热,心,4,3
train,227,壮热,甘草、杏仁、黄连、黄芩、杏、石膏,热,肺,4,3
train,228,麻疹,甘草、杏仁、板蓝根、法半夏、连翘、半夏、杏、麻黄、石膏,表,肺,4,6
train,229,白带,莲须、芡实、山药、茯苓、莲子、藕节,里,脾,3,4
train,230,身重、腹满、咽干、恶风、潮热、口苦、自汗,甘草、杏仁、细辛、干姜、大黄、芍药、茯苓、半夏、杏、五味子,里,脾,5,5
train,231,慢惊,荆芥、熊胆、雄黄、防风、白矾、蟾酥、全蝎、芦荟、麝香、朱砂、牛黄,里,肝,3,4
train,232,自汗,附子,阳,心,4,3
train,233,呕吐,白术、甘草、丁香、人参、茯苓、沉香、炙甘草,虚,脾,4,3
train,234,烦躁、腹痛,川芎、防风、甘草、陈皮、枳实、桔梗、白芍、白芷、升麻、厚朴、香附,里,肝,3,4
train,235,发黄、心下痞、恶寒、自汗,白术、陈皮、干姜、茵陈、豆蔻、枳实、茯苓、附子、半夏、草豆蔻、泽泻,里,脾,4,6
train,236,大便溏,牡蛎,虚,脾,3,2
train,237,慢惊,轻粉、地龙、麝香、朱砂,里,肝,3,3
train,238,胞衣不下,五灵脂、血竭、没药、斑蝥,实,肝,3,3
train,239,壮热、头痛,甘草、赤芍、大黄、芍药、栀子、黄芩,热,心,4,5
train,240,大便秘结、目昏、咽干、心烦,川芎、肉桂、大黄、槟榔、郁李、羌活、木香、郁李仁,里,大肠,4,5
train,241,慢惊,全蝎、川乌、僵蚕,寒,肝,3,3
train,242,崩中、腹痛,桃,热,肝,2,2
train,243,发狂,荆芥、玄参、黄连、升麻、黄芩、天冬、麦门冬、青蒿,热,心,3,4
train,244,发狂,甘草、远志、人参、酸枣仁、虎骨、龙骨、朱砂、麦门冬,里,心,5,3
train,245,流泪,熊胆、黄连、麝香、冰片,热,肝,3,3
train,246,寒热往来,知母、甘草、赤芍、当归、大黄、芍药、鳖甲、槟榔、茯苓、柴胡,里,肝,6,6
train,247,鼻塞、短气、恶寒、咳嗽,甘草、杏仁、细辛、干姜、芍药、白芍、半夏、杏、五味子,寒,肺,4,3
train,248,无汗,荆芥、防风、甘草、赤芍、桔梗、栀子、连翘、马勃、薄荷、葛根、枳壳,表,肺,4,5
train,249,咳嗽,桑、生姜、甘草、当归、桔梗、连翘、乌梅、紫菀、黄芩、薄荷、桑白皮、半夏、生地黄、麦门冬、五味子,里,肺,8,12
train,250,腹满、心烦,前胡、大黄、芍药、黄芩、木通,里,胃,3,5
train,251,积滞,大黄、人参,里,胃,4,3
train,252,小便不通,滑石、防己、木香,里,膀胱,3,3
train,253,瘰疬,乳香、铅丹、当归、巴豆、白及、附子、白蔹,寒,肝,4,4
train,254,盗汗,川芎、防风、当归、白芍、人参、独活,虚,肝,3,4
train,255,盗汗,甘遂,里,胃,4,4
train,256,肠鸣、咳嗽,豆蔻、赤芍、肉豆蔻、芍药、紫菀、人参、附子、苍术、柴胡,里,脾,4,4
train,257,流泪,桑、川芎、知母、甘草、赤芍、当归、桔梗、栀子、黄芩,热,肝,4,4
train,258,头痛,黄连、大黄、黄芩,热,心,3,4
train,259,心烦、四肢疼痛,桃、防风、甘草、赤芍、芍药、天门冬、人参、羚羊角、郁李、桃仁、柴胡、郁李仁、枳壳、独活、石膏,热,肝,4,6
train,260,痫,郁金、麝香,实,心,4,2
train,261,臁疮,狗脊,虚,肾,3,3
train,262,身重、项强、头痛,川芎、白术、防风、甘草、藁本、防己、蔓荆子、羌活、独活,表,膀胱,4,5
train,263,麻疹,荆芥、蒺藜、防风、甘草、赤芍、连翘、牛蒡子、黄芩、丹参、牛蒡、藜,表,肺,4,5
train,264,烦躁,白矾、甘草,热,心,3,3
train,265,鼻塞,白芷、辛夷、苍耳子、薄荷、冰片、苍耳,表,肺,4,3
train,266,白带、腰膝无力,玄参、肉桂、乳香、赤芍、当归、大黄、没药、白芷、轻粉、阿魏,里,肾,4,3
train,267,咽干、消瘦,红花、蒺藜、知母、玉竹、肉桂、石斛、山药、附子、藜,阴,肾,4,5
train,268,无名肿毒,蓖麻子、杏仁、乳香、没药、轻粉、蓖麻、麝香、杏,实,肝,4,5
train,269,浮肿、口渴,绿豆,热,胃,3,4
train,270,肠鸣,杏仁、巴豆、杏,里,大肠,3,3
train,271,鼻塞、咳嗽、自汗,荆芥、甘草、陈皮、白芷、苍术、麻黄,表,肺,4,3
train,272,慢惊,生姜、甘草、白芍、人参,虚,脾,4,4
train,273,短气、腰痛、头痛、咳嗽,川芎、白术、肉桂、甘草、当归、芍药、熟地黄、白芍、人参、肉苁蓉、茯苓、附子、半夏、麦门冬,阳,肾,5,6
train,274,恶露不下,白术、艾叶、赤石脂、当归、阿胶、牛膝、柏子仁、人参、续断,虚,脾,4,5
train,275,鼻衄、无名肿毒,姜黄、赤芍、白芷,热,心,3,4
